Year,ISO_Code_3,"World Bank Current Income Classification, 1990-present (L=Low income, LM=Lower middle income, UM=Upper middle income, H=High income)",Countries,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation,Liberal Democracy Index
2019,ALB,UM,Albania,7.914268245086932,5.25876051559803,9.826939572642814,8.230910992137135,7.700060040129765,0.41
2019,AGO,LM,Angola,8.052308382676788,3.6679911455691,4.667935834545004,5.406168254186712,5.9750776217856645,0.181
2019,ARM,UM,Armenia,7.770128198902544,6.25048270672673,9.51977955829137,8.524504671781703,7.819692483283623,0.632
2019,AUS,H,Australia,6.537758255047746,8.29703632586166,9.554928021776458,7.95256274599187,8.521942118174504,0.791
2019,AUT,H,Austria,5.425605988651571,8.330770185590453,9.42310045440161,8.447876754135939,7.650650432952313,0.773
2019,AZE,UM,Azerbaijan,5.006232545727901,5.241117763380451,7.29181621015206,7.236472301427429,7.365567448866894,0.064
2019,BHR,H,Bahrain,7.106125111240829,4.728614105722297,9.337619773990735,8.26751303148773,7.707330515229708,0.051
2019,BGD,LM,Bangladesh,8.105819663598897,2.8737415584754884,6.9130258189127645,5.755518918780368,6.55969908007625,0.097
2019,BRB,H,Barbados,6.965145884095287,5.794733049684562,8.138538247701572,6.736834900072775,7.624462786635191,0.669
2019,BLR,UM,Belarus,5.388206219726116,5.6570878621879075,9.012818155875845,6.1815395668180635,7.39001998649279,0.114
2019,BEL,H,Belgium,4.7477587343995085,7.445570880778769,9.413798960536138,8.38522713547338,8.118763200999624,0.833
2019,BEN,LM,Benin,7.96348694184917,4.5751964305369315,7.323791089812569,6.1808796780733335,7.240734545267787,0.348
2019,BTN,LM,Bhutan,7.3861348700823095,5.930494448256208,6.834972048770032,5.401793888521456,7.047707959338629,0.513
2019,BOL,LM,Bolivia,6.027768404636408,3.921982656766039,9.403163263195923,7.014561942686764,5.2343873764855315,0.257
2019,BIH,UM,Bosnia and Herzegovina,6.850390807315751,4.268832601084387,8.399954436704432,7.810684756667857,7.388001979145639,0.367
2019,BWA,UM,Botswana,6.107221551609595,6.111591400406248,9.342196941680294,7.933999322214079,7.848172546498639,0.561
2019,BRA,UM,Brazil,6.828164639102323,5.109185683906693,9.262193540923352,6.989849349236229,4.804698257132783,0.525
2019,BGR,UM,Bulgaria,7.351239149829746,5.938567545911662,9.499426593593483,8.33698878306739,7.809918686412827,0.512
2019,BFA,L,Burkina Faso,7.095555812065422,4.054143740986224,6.712206924201246,6.306658338661081,7.057459111682733,0.463
2019,CPV,LM,Cabo Verde,7.592879736887866,6.397419875943167,9.766816291983568,7.168270028784987,7.332474480731384,0.71
2019,KHM,LM,Cambodia,9.201444516633668,3.702671836957276,9.2657986350833,7.721377070897936,7.005568485481468,0.065
2019,CMR,LM,Cameroon,7.232678876560795,2.7641664628792366,7.153707217661722,5.12314913861342,6.69728122985769,0.117
2019,CAN,H,Canada,6.320976906224885,8.035517415563922,9.599041791046327,7.692142762245948,8.622134039346165,0.766
2019,CAF,L,Central African Republic,6.903458114419148,3.19934375747255,6.5977745276689115,4.779681040874913,5.414295527939486,0.222
2019,TCD,L,Chad,8.602556642397426,2.6888984227056887,6.906308829010343,5.0678629414235665,4.868204535204906,0.091
2019,CHL,H,Chile,7.818888161887497,6.623195285149045,9.68577998378687,8.156737595200013,7.027773065510586,0.761
2019,CHN,UM,China,5.020734192644343,5.151350448112317,8.406541560074642,6.71191004780981,6.334376316802918,0.043
2019,COL,UM,Colombia,7.025087584431334,4.9271936545130375,8.320768873195606,6.573339216673523,7.290927418362892,0.502
2019,COM,LM,Comoros,6.241709755692591,3.4802296243485804,7.024170892949181,7.127980673064671,7.652206808845375,0.126
2019,COD,L,"Congo, Dem. Rep.",7.668141065435089,2.689877640272617,5.8817949931403,5.427990068093914,5.416872846311774,0.144
2019,CRI,UM,Costa Rica,7.453975856913171,6.39963194006971,9.782606953625146,8.08758204968641,6.631479354164621,0.849
2019,CIV,UM,Cote d'Ivoire,6.866688963059399,4.46770697313607,7.166599074778242,5.453698391708238,6.888911200503033,0.345
2019,HRV,H,Croatia,5.503423690245015,6.069942103128805,9.72021881141611,8.333019273975573,7.460216569248791,0.624
2019,CYP,H,Cyprus,7.249156747054243,6.3161273144539605,9.33827559788976,8.63796208346293,7.924962767898983,0.714
2019,CZE,H,Czech Republic,6.63646551652949,6.9922736783356045,9.539223202618864,8.433818041059855,8.312801464918882,0.72
2019,DNK,H,Denmark,5.343087259773677,8.605853832355256,9.901382809350316,8.774316285115862,8.539187624473582,0.888
2019,DJI,LM,Djibouti,6.817234380621603,4.009348183328063,7.20311532874095,6.953030096355922,7.3617044859613285,0.126
2019,DOM,UM,Dominican Republic,8.765449478152242,4.75019111350626,9.633334459246889,8.196093937894613,6.645952610079418,0.295
2019,ECU,UM,Ecuador,7.14803543445814,4.655420282691036,8.508651012551939,6.76888415266937,6.340238058147944,0.46
2019,EGY,LM,"Egypt, Arab Rep.",5.2884398010875575,3.5804598650489603,8.164979752552501,6.242519615587735,5.425586354307378,0.12
2019,SLV,LM,El Salvador,8.469277046452124,4.331547257505986,9.723616900012987,7.8459747376677225,6.337928472351372,0.429
2019,EST,H,Estonia,6.601092751853893,7.69644341261683,9.361422676732994,8.680553709619158,8.22486623093645,0.842
2019,SWZ,LM,Eswatini,5.86209102711215,3.810538557616286,7.855261220935455,5.998994902557706,7.150174045134353,0.112
2019,ETH,L,Ethiopia,6.227553185715982,4.454853370332413,5.947806177935952,5.638005501207654,6.842316986778367,0.168
2019,FJI,UM,Fiji,6.660965518523942,5.161128265976948,7.138269896282843,5.510362471640844,7.317823335710279,0.274
2019,FIN,H,Finland,5.129997818654093,8.60309482845418,9.38589709451209,8.501434642922042,7.958588219479061,0.833
2019,FRA,H,France,5.079389231410154,7.154849531375212,9.413420796178404,8.559044592439106,7.555820898085568,0.804
2019,GAB,UM,Gabon,6.7937404142136275,2.6886232422862775,6.623716412320826,5.927042943250929,7.095515768501782,0.207
2019,GMB,L,"Gambia, The",7.293856887663002,5.0137117793296895,9.203262547729533,6.669761542392102,7.128086051962066,0.42
2019,GEO,UM,Georgia,7.590344085826958,6.720841032273533,9.223523741177425,9.114724431412665,8.158690233211113,0.498
2019,DEU,H,Germany,6.000233968048913,7.709236632867644,9.409734684947981,8.335227158109314,7.985563182732279,0.832
